2.2318585007631522e-7,5.e-8,7.433991357589888e-10,3.7045231651198904e-11
1.4321352200514847e-7,5.e-8,1.8338178665693356e-9,8.996997051365074e-11
1.2327965943705355e-7,5.e-8,2.36669908343053e-9,1.2141791668919649e-10
2.0613640429660862e-7,5.e-8,8.776388802677575e-10,4.342664078572754e-11
1.7922567571417022e-7,5.e-8,1.21820310175249e-9,5.7446711914163314e-11
2.843622954381824e-7,5.e-8,4.4866201630536303e-10,2.2820313493438463e-11
2.3376310154913042e-7,5.e-8,6.981034175945571e-10,3.3768650653454447e-11
2.9089536666525604e-7,5.e-8,4.917538230240435e-10,2.180680404108194e-11
2.89099440644057e-7,5.e-8,4.347230344108735e-10,2.2078579392843266e-11
1.8233940668756522e-7,5.e-8,1.2375955721092645e-9,5.550147872592645e-11
